"","Inoculum_1","Inoculum_2","Inoculum_3","Inoculum_4","Inoculum_5","Inoculum_6","Inoculum_7","Inoculum_8"
"806rcbc366",11173,11106,9096,9456,10581,9770,10481,12883
"806rcbc367",11067,11097,9171,9538,10709,9865,10582,12917
"806rcbc368",11128,11071,9117,9467,10681,9847,10591,12974
"806rcbc369",11098,11214,9163,9821,10490,9667,10466,12730
"806rcbc37",11678,11109,9398,9960,10643,10606,11655,13476
"806rcbc370",11071,11028,9121,9485,10548,9761,10558,12821
"806rcbc371",11450,11128,9308,9601,10603,9893,11054,13065
"806rcbc374",11135,10979,9128,9562,12595,9775,10485,12840
"806rcbc375",11160,11221,9245,9581,10558,9768,10534,12903
"806rcbc376",11049,10998,9079,9446,10423,9687,10515,12716
"806rcbc378",11378,11868,9356,9690,10941,10219,10939,13365
"806rcbc38",11622,11417,9293,9910,10730,10841,11138,13588
"806rcbc380",11118,11233,9199,9501,10633,9813,10565,12907
"806rcbc381",11047,11073,9198,9598,10632,9965,10638,12920
"806rcbc382",11088,11060,9249,9559,10756,9878,11068,12967
"806rcbc383",11026,11032,9142,9562,10560,9749,10482,12820
"806rcbc384",11091,11055,9138,9461,10448,9724,10476,12705
"806rcbc387",10893,11245,9199,9543,10520,9729,10543,13606
"806rcbc39",11418,11688,9291,9775,10976,12054,11224,13327
"806rcbc391",11195,11406,9769,10255,11164,10642,11842,13295
"806rcbc392",10895,10946,9162,9418,10393,9592,10415,0
"806rcbc4",11492,10903,9267,9629,10514,9687,10487,12668
"806rcbc40",11463,11580,9470,9908,10813,10524,11014,13357
"806rcbc401",11572,11440,9538,10283,10568,10050,10762,13162
"806rcbc402",11010,10993,9056,0,10717,0,0,12874
"806rcbc403",28187,17624,17358,10295,12111,13311,10984,13290
"806rcbc404",11272,11007,9152,9632,10479,9702,10472,12770
"806rcbc405",11658,12078,9698,11066,10897,10358,11386,13562
"806rcbc406",11373,11006,9346,9530,10362,9574,0,0
"806rcbc407",11162,10987,9136,9685,10508,9776,10486,12731
"806rcbc408",11211,11082,9107,9766,10557,9845,10565,12799
"806rcbc409",11126,10976,9123,9549,10504,9719,10489,12717
"806rcbc41",11630,11679,9439,10195,10937,11129,10928,13560
"806rcbc410",11119,11031,9128,9721,10620,9799,10540,12714
"806rcbc412",11837,11089,9118,9758,10715,9983,10920,12959
"806rcbc413",11029,10985,9126,9599,10440,9706,10474,13115
"806rcbc415",11200,11256,9188,9659,10521,10120,10845,13121
"806rcbc416",11074,11038,9141,9525,10440,9674,10482,12738
"806rcbc418",11115,11077,9336,9838,10493,10033,10832,13065
"806rcbc42",11167,11057,9201,9815,10587,10051,11155,13171
"806rcbc420",10988,10927,9079,9437,10454,9783,10547,12895
"806rcbc421",11102,10951,9106,9443,10423,9604,10877,12620
"806rcbc422",11243,10952,9102,9476,10398,9588,10850,12918
"806rcbc423",11091,10973,9058,9448,10385,9602,10778,13082
"806rcbc424",11073,11213,9151,9540,10510,9643,10445,12832
"806rcbc426",11083,10973,9071,9430,10509,9678,10458,12752
"806rcbc427",10996,10943,9090,9581,10465,9641,10442,12686
"806rcbc428",11115,10967,9107,9560,10579,9729,10498,12833
"806rcbc429",11054,10939,9086,9493,10428,9620,10440,12673
